,name,artists,peak_position,weeks_on_chart,week,date,genre,features
23309,Hideaway,Kiesza,51.0,14.0,11/7/14,12-Feb-14,"Electronic,Pop,Deep House",
23316,Hookah,Tyga,85.0,11.0,11/7/14,17-Mar-14,Rap,Young Thug
23321,Fight Night,Migos,69.0,16.0,11/7/14,25-Feb-14,Rap,
23322,U Guessed It,OG Maco,90.0,4.0,11/7/14,26-Sep-14,"Remix,Hardcore Hip-Hop,Trap,Memes,Rap",2 Chainz
23365,2 On,Tinashe,24.0,24.0,10/31/14,21-Jan-14,"R&;B,Rap",ScHoolboy Q
23366,Problem,Ariana Grande,2.0,25.0,10/31/14,28-Apr-14,"Australia,Screen,Producer,Dance-Pop,R&;B,Rap,Pop",Iggy Azalea
23371,Dark Horse,Katy Perry,1.0,57.0,10/31/14,18-Oct-13,"Trap,Rap,Producer,Pop",Juicy J
23378,Ready Set Roll,Chase Rice,54.0,21.0,10/31/14,11-Nov-13,Country,
23381,Shower,Becky G,16.0,20.0,10/31/14,23-Apr-14,"R&;B,Pop",
23385,V. 3005,Childish Gambino,64.0,20.0,10/31/14,22-Oct-13,"Producer,Rap",
23387,Studio,ScHoolboy Q,38.0,20.0,10/31/14,25-Feb-14,"West Coast,Rap",BJ The Chicago Kid
23406,EW!,Jimmy Fallon,26.0,2.0,10/31/14,7-Oct-14,"Comedy,Screen,Pop,Rap",will.i.am
23407,I'm Not Gonna Miss You,Glen Campbell,,,10/31/14,,"Screen,Country",
23490,The Days,Avicii,,,10/24/14,3-Oct-14,"EDM,House,Dance,Pop",
23498,Believe Me,Lil Wayne,26.0,20.0,10/24/14,6-May-14,"Trap,Canada,Producer,Rap",Drake
23506,24 Hours,TeeFLii,85.0,7.0,10/24/14,26-Mar-14,"R&;B,Rap",2 Chainz
23508,Errrbody,Yo Gotti,,,10/24/14,10-Jul-14,Rap,
23509,Later On,The Swon Brothers,86.0,9.0,10/24/14,10-Dec-13,Country,
23559,Counting Stars,OneRepublic,2.0,68.0,10/17/14,25-Mar-13,"Folk Rock,Rock,Pop,Electro-Pop,Folk,Pop-Rock",
23571,Bartender,Lady Antebellum,31.0,20.0,10/17/14,19-May-14,Country,
23575,Bumpin' The Night,Florida Georgia Line,,,10/17/14,14-Oct-14,"Country,Rock",
23596,Really Don't Care,Demi Lovato,26.0,18.0,10/17/14,20-May-14,"Alternative Pop,Bubblegum Pop,Dance-Pop,Pop",Cher Lloyd
23601,Walk Thru,Rich Homie Quan,74.0,7.0,10/17/14,26-Nov-13,Rap,Problem
23603,Meanwhile Back At Mama's,Tim McGraw,41.0,19.0,10/17/14,16-Sep-14,"Rock,Country",Faith Hill
23669,Drunk On A Plane,Dierks Bentley,27.0,20.0,10/10/14,25-Feb-14,Country,
23690,Angel In Blue Jeans,Train,79.0,3.0,10/10/14,9-Jun-14,"Rock,Pop-Rock",
23693,Bend Ova,Lil Jon,92.0,3.0,10/10/14,16-Jun-14,Rap,Tyga
23695,Left Hand Free,alt,,,10/10/14,7-Jul-14,"UK,Adult Alternative,Alternative Rock,Indie Rock,Rock",
23696,Main Chick,Kid Ink,60.0,20.0,10/10/14,11-Mar-14,Rap,Chris Brown
23742,Where It's At,Dustin Lynch,42.0,20.0,10/3/14,31-Mar-14,"Rock,Country",
23743,Wiggle,Jason Derulo,5.0,21.0,10/3/14,6-Jun-14,"Pop,Rap",Snoop Dogg
23754,Love Runs Out,OneRepublic,15.0,20.0,10/3/14,14-Apr-14,"Gaming,Adult Contemporary,Pop-Rock,Pop,Rock,Soul",
23778,Pills N Potions,Nicki Minaj,24.0,18.0,10/3/14,21-May-14,Rap,
23785,Dust,Eli Young Band,79.0,9.0,10/3/14,3-Feb-14,"Country,Rock",
23789,Foreign,Trey Songz,84.0,10.0,10/3/14,13-May-14,"DMV,R&;B,Rap",
23861,Two Night Town,Jason Aldean,,,9/26/14,7-Oct-14,"Country,Rock",
23871,Love Never Felt So Good,"Michael Jackson, Justin Timberlake",9.0,20.0,9/26/14,2-May-14,"Eighties,Soul,Disco,Dance,Remix,R&;B,Pop",
23880,Seen It All,Jeezy,85.0,2.0,9/26/14,30-Jun-14,Rap,Jay Z
23881,Cold One,Eric Church,88.0,6.0,9/26/14,2-Jun-14,"Country,Rock",
23882,Sweet Little Somethin',Jason Aldean,71.0,2.0,9/26/14,7-Oct-14,"Country,Rock",
23883,Good Kisser,Usher,65.0,19.0,9/26/14,5-May-14,"R&;B,Pop",
23928,Turn Down For What,"DJ Snake, Lil Jon",4.0,37.0,9/19/14,18-Dec-13,"Screen,Soundtrack,Memes,Electronic,Pop,Rap,Producer",
23961,Yeah,Joe Nichols,41.0,20.0,9/19/14,27-Jan-14,"Country,Rock",
23962,It Was Always You,Maroon 5,45.0,3.0,9/19/14,29-Aug-14,"Alternative Rock,Pop",
23968,Delirious,"Steve Aoki, Chris Lake, Tujamo",90.0,3.0,9/19/14,1-Jul-14,"Dance,Pop,Electronic",Kid Ink
23973,I Will Never Let You Down,Rita Ora,77.0,6.0,9/19/14,1-Mar-14,"Electronic,Electro-Pop,UK,R&;B,Pop",
23974,River Bank,Brad Paisley,54.0,18.0,9/19/14,14-Apr-14,Country,
23976,She Came To Give It To You,Usher,89.0,2.0,9/19/14,8-Jul-14,"R&;B,Rap",Nicki Minaj
24028,We Dem Boyz,Wiz Khalifa,43.0,20.0,9/12/14,11-Feb-14,"Trap,Hip-Hop,Memes,Rap",
24035,I Don't Dance,Lee Brice,33.0,20.0,9/12/14,18-Feb-14,"Country,Rock",
24062,We Are Tonight,Billy Currington,60.0,19.0,9/12/14,17-Sep-13,"Country,Rock",
24066,Best Mistake,Ariana Grande,49.0,2.0,9/12/14,12-Aug-14,"Rap,R&;B,Pop",Big Sean
24070,Who I Am With You,Chris Young,48.0,19.0,9/12/14,20-Jan-14,Country,
24072,Come Get It Bae,Pharrell Williams,23.0,15.0,9/12/14,3-Mar-14,"R&;B,Pop",
24115,Come With Me Now,KONGOS,31.0,21.0,9/5/14,31-Jul-12,"Rock,Alternative Rock",
24123,Girls Chase Boys,Ingrid Michaelson,52.0,20.0,9/5/14,4-Feb-14,"Pop-Rock,Pop,Indie Pop",
24146,Sing,Ed Sheeran,13.0,20.0,9/5/14,8-Apr-14,"Contemporary Folk,Funk,R&;B,UK,Pop",
24151,Cut Her Off,KCamp,49.0,20.0,9/5/14,1-Jan-13,Rap,2 Chainz
24168,Dare,Shakira,53.0,11.0,9/5/14,25-Mar-14,"Pop,Electro-Pop",
24210,Classic,MKTO,14.0,27.0,8/29/14,21-Jun-13,"Pop,Rap",
24213,Pompeii,Bastille,5.0,53.0,8/29/14,22-Feb-13,"UK,Pop-Rock,Rock,Adult Contemporary,Adult Alternative,Alternative Rock,Indie Pop,Indie Rock,Pop,Alternative Pop",
24217,This Is How We Roll,Florida Georgia Line,15.0,28.0,8/29/14,,Country,Luke Bryan
24239,She Looks So Perfect,5 Seconds Of Summer,24.0,20.0,8/29/14,21-Feb-14,"Australia,Punk Rock,Pop-Rock,Pop,Rock",
24250,I'm Ready,AJR,65.0,11.0,8/29/14,1-Jan-13,Pop,
24263,My Eyes,Blake Shelton,39.0,16.0,8/29/14,,"Country,Rock",Gwen Sebastian
24311,Ain't It Fun,Paramore,10.0,24.0,8/22/14,9-Apr-13,"Adult Alternative,Adult Contemporary,Alternative Rock,Funk Rock,Pop-Rock,Pop,Rock",
24324,Me And My Broken Heart,Rixton,14.0,20.0,8/22/14,14-Mar-14,"Rock,Pop-Rock,Pop",
24329,Beachin',Jake Owen,26.0,20.0,8/22/14,3-Dec-13,"Country,R&;B,Rock",
24347,Wild Life,"Jack, Jack",,,8/22/14,31-Oct-14,Rap,
24357,Birthday,Katy Perry,17.0,18.0,8/22/14,18-Oct-13,"Disco,Pop",
24358,Song About A Girl,Eric Paslay,85.0,10.0,8/22/14,4-Feb-14,Country,
24401,Talk Dirty,Jason Derulo,3.0,33.0,8/15/14,2-Aug-13,"Pop,R&;B,Rap",2 Chainz
24408,Na Na,Trey Songz,21.0,28.0,8/15/14,21-Jan-14,"DMV,R&;B",
24414,Or Nah,Ty Dolla $ign,48.0,20.0,8/15/14,6-Jan-14,Rap,"Wiz Khalifa, DJ Mustard"
24437,Chasing The Sun,Hilary Duff,,,8/15/14,23-Jul-14,"Folk,Pop",
24503,Not A Bad Thing,Justin Timberlake,8.0,22.0,8/8/14,30-Sep-13,"R&;B,Pop",
24509,Play It Again,Luke Bryan,14.0,20.0,8/8/14,24-Mar-14,Country,
24536,Who Do You Love?,YG,54.0,20.0,8/8/14,18-Mar-14,"Fashion,Canada,West Coast,Rap",Drake
24542,Tennis Court,Lorde,71.0,18.0,8/8/14,7-Jun-13,"Alternative Pop,Alternative,Downtempo,New Zealand,Art Pop,Adult Alternative,Trip-Hop,Electro-Pop,Pop",
24543,Word Crimes,"""Weird Al"" Yankovic",39.0,2.0,8/8/14,15-Jul-14,"Parody,Comedy,Pop",
24544,Happy Little Pill,Troye Sivan,,,8/8/14,25-Jul-14,Pop,
24552,Whiskey In My Water,Tyler Farr,52.0,18.0,8/8/14,,Pop,
24576,Everything I Didn't Say,5 Seconds Of Summer,,,8/1/14,27-Jun-14,"Australia,Punk Rock,Pop-Rock,Pop,Rock",
24599,Best Day Of My Life,American Authors,11.0,36.0,8/1/14,19-Mar-13,"Adult Alternative,Adult Contemporary,Pop-Rock,Alternative Rock,Rock,Indie Pop,Indie Rock,Pop",
24646,She Twerkin,Ca$h Out,98.0,3.0,8/1/14,14-Feb-14,Rap,
24736,I Got A Car,George Strait,89.0,7.0,7/25/14,4-Nov-13,Country,
24737,Chainsaw,The Band Perry,86.0,9.0,7/25/14,3-Mar-14,"Country,Rock",
24812,La La La,Naughty Boy,19.0,20.0,7/18/14,1-May-13,"Electronic,R&;B,UK,Pop",Sam Smith
24814,Lettin' The Night Roll,Justin Moore,49.0,20.0,7/18/14,17-Sep-13,"Rock,Country",
24816,Life Of The Party,Shawn Mendes,24.0,2.0,7/18/14,26-Jun-14,"Canada,Pop",
24828,Calm Down,Busta Rhymes,,,7/18/14,1-Jul-14,Rap,Eminem
24830,Keep Them Kisses Comin',Craig Campbell,72.0,10.0,7/18/14,,Pop,
24832,First Love,Jennifer Lopez,87.0,3.0,7/18/14,1-May-14,Pop,
24833,Ten Feet Tall,Afrojack,,,7/18/14,3-Feb-14,"Pop,Electronic",Wrabel
24909,Get Her Back,Robin Thicke,,,7/11/14,1-May-14,"R&;B,Pop",
24914,Jungle,"Jamie N Commons,, Ambassadors",87.0,2.0,7/11/14,,Rap,
24922,Automatic,Miranda Lambert,35.0,19.0,7/11/14,17-Feb-14,"Rock,Country",
24924,Wild Wild Love,Pitbull,30.0,18.0,7/11/14,25-Feb-14,"Pop,Rap",G.R.L.
24952,Kiss Me Kiss Me,5 Seconds Of Summer,,,7/4/14,27-Jun-14,"Australia,Punk Rock,Pop-Rock,Pop,Rock",
24961,Afire Love,Ed Sheeran,,,7/4/14,23-Jun-14,"Rock,UK,Pop",
24969,Demons,Imagine Dragons,6.0,61.0,7/4/14,14-Feb-12,"Adult Alternative,Adult Contemporary,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Indie Rock,Pop,Rock",
24985,Beat Of The Music,Brett Eldredge,44.0,20.0,7/4/14,30-Sep-13,Country,
24999,The Worst,Jhene Aiko,43.0,20.0,7/4/14,12-Nov-13,R&;B,
25015,On Top Of The World,Imagine Dragons,79.0,20.0,7/4/14,14-Feb-12,"Indie Pop,Indie,Adult Alternative,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Indie Rock,Pop,Rock",
25017,West Coast,Lana Del Rey,17.0,2.0,7/4/14,14-Apr-14,"Psychedelic Rock,Alternative,Rock,Trip-Hop,Dream-Pop,Pop,Alternative Pop",
25042,Hangover,PSY,,,6/27/14,8-Jun-14,"K-Pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d),Pop,Rap",Snoop Dogg
25095,Empire,Shakira,58.0,12.0,6/27/14,25-Feb-14,"Latin Rock,Rock,Ballad,Pop",
25099,Sleeping With A Friend,Neon Trees,51.0,16.0,6/27/14,11-Jan-14,Rap,
25105,I Choose You,Sara Bareilles,81.0,5.0,6/27/14,17-Jan-14,"Rock,Pop",
25144,Bottoms Up,Brantley Gilbert,20.0,25.0,6/20/14,16-Dec-13,Country,
25151,Show Me,Kid Ink,13.0,31.0,6/20/14,17-Sep-13,"DMV,West Coast,R&;B,Rap",Chris Brown
25155,Story Of My Life,One Direction,6.0,32.0,6/20/14,28-Oct-13,"Folk Rock,Folk,Boy Band,UK,Pop",
25173,Ultraviolence,Lana Del Rey,,,6/20/14,4-Jun-14,"Alternative Rock,Rock,Alternative Pop,Alternative,Dream-Pop,Pop",
25198,Red Lights,Tiesto,56.0,13.0,6/20/14,13-Dec-13,"Pop,Electronic",
25199,Magic,Coldplay,14.0,14.0,6/20/14,3-Mar-14,"UK,Adult Alternative,Ballad,Baroque Pop,Alternative Rock,Rock",
25202,Raging Fire,Phillip Phillips,58.0,8.0,6/20/14,3-Mar-14,"Folk Rock,Pop-Rock,Pop,Rock",
25245,Partition,Beyonce,23.0,21.0,6/13/14,13-Dec-13,"R&;B,Pop",
25268,Rewind,Rascal Flatts,38.0,20.0,6/13/14,13-May-14,Country,
25271,Mmm Yeah,Austin Mahone,49.0,15.0,6/13/14,24-Jan-14,"R&;B,Rap,Pop",Pitbull
25276,Shades Of Cool,Lana Del Rey,,,6/13/14,26-May-14,"Alternative Rock,Alternative Pop,Alternative,Blues Rock,Pop,Rock",
25282,Cop Car,Keith Urban,41.0,18.0,6/13/14,10-Sep-13,Country,
25286,XO,John Mayer,,,6/13/14,27-May-14,Rock,
25288,Don't Stop,5 Seconds Of Summer,47.0,3.0,6/13/14,9-May-14,"Australia,Punk Rock,Pop-Rock,Pop,Rock",
25292,Part II,Jay Z,77.0,16.0,6/13/14,4-Jul-13,Rap,Beyonce
25293,I Won,Future,98.0,3.0,6/13/14,8-Apr-14,Rap,Kanye West
25309,Billie Jean,Michael Jackson,1.0,25.0,6/6/14,,"Eighties,Funk,Synth-Pop,Soul,Soul Pop,R&;B,Pop",
25336,Slave To The Rhythm,Michael Jackson,,,6/6/14,8-May-14,"Synth-Pop,R&;B,Pop",
25341,Let Her Go,Passenger,5.0,43.0,6/6/14,24-Feb-12,"Indie Rock,Indie Pop,Folk Rock,Acoustic,Pop,Folk",
25342,Get Me Some Of That,Thomas Rhett,41.0,20.0,6/6/14,18-Nov-13,Country,
25364,Give Me Back My Hometown,Eric Church,36.0,20.0,6/6/14,11-Feb-14,"Country,Rock",
25379,Leave Your Lover,Sam Smith,,,6/6/14,26-May-14,"UK,Pop",
25383,Stoner,Young Thug,47.0,15.0,6/6/14,4-Feb-14,"Atlanta,Trap,Rap",
25385,Can't Remember To Forget You,Shakira,15.0,19.0,6/6/14,12-Jan-14,"Pop-Rock,Ska,Pop",Rihanna
25427,Headlights,Eminem,45.0,8.0,5/30/14,5-Nov-13,"SHADYXV,Producer,Rap",Nate Ruess
25432,The Monster,Eminem,1.0,29.0,5/30/14,29-Oct-13,"Hip-Hop,Pop,Rap",Rihanna
25451,Drink To That All Night,Jerrod Niemann,34.0,20.0,5/30/14,21-Oct-13,"Rock,Country",
25460,The Walker,Fitz And The Tantrums,67.0,12.0,5/30/14,10-Dec-13,"Adult Alternative,Alternative Rock,Alternative Dance,Electro-Pop,Indie Pop,Indie Rock,Neo Soul,Pop",
25463,Fever,The Black Keys,77.0,3.0,5/30/14,24-Mar-14,"Adult Alternative,Alternative Rock,Blues Rock,Indie Rock,Rock",
25467,One,Ed Sheeran,,,5/30/14,2-May-14,"Rock,UK,Pop",
25477,Wake Up Lovin' You,Craig Morgan,99.0,2.0,5/30/14,8-Jul-13,Country,
25509,The Man,Aloe Blacc,8.0,20.0,5/23/14,24-Sep-13,"Adult Contemporary,Alternative R&;B,Adult Alternative,Soul Pop,Soul,Pop,R&;B",
25519,Burn,Ellie Goulding,13.0,36.0,5/23/14,5-Jul-13,"UK,Electro-Pop,Synth-Pop,Pop",
25520,Hey Brother,Avicii,16.0,23.0,5/23/14,9-Oct-13,"Electro House,Pop,Dance",
25534,Neon Lights,Demi Lovato,36.0,20.0,5/23/14,19-Nov-13,Pop,
25549,Invisible,Hunter Hayes,44.0,12.0,5/23/14,26-Jan-14,Country,
25561,17 Again,Brantley Gilbert,,,5/23/14,19-May-14,"Country,Rock",
25566,Man Of The Year,ScHoolboy Q,62.0,13.0,5/23/14,19-Nov-13,"West Coast,Rap",
25569,Doin' What She Likes,Blake Shelton,35.0,17.0,5/23/14,6-Jan-14,Country,
25615,Royals,Lorde,1.0,44.0,5/16/14,3-Jun-13,"Alternative,Art Pop,Adult Alternative,New Zealand,Memes,Electro-Pop,Alternative Pop,Pop",
25617,Drunk In Love,Beyonce,2.0,20.0,5/16/14,17-Dec-13,"R&;B,Pop",Jay Z
25649,My Baby's Guns N' Roses,Brantley Gilbert,,,5/16/14,19-May-14,"Country,Rock",
25658,For The First Time In Forever,"Kristen Bell, Idina Menzel",57.0,19.0,5/16/14,27-Nov-13,"Soundtrack,Pop,Disney",
25660,The Big Bang,Katy Tiz,,,5/16/14,24-Apr-14,Pop,
25705,Radioactive,Imagine Dragons,3.0,87.0,5/9/14,14-Feb-12,"Adult Alternative,Dubstep,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Electronic Rock,Pop,Rock",
25728,Hello Kitty,Avril Lavigne,,,5/9/14,5-Nov-13,"Japanese,Japan,J-Pop,Dance,Rock,Dubstep,Pop-Rock,Canada,Pop",
25731,John Doe,B.o.B,69.0,5.0,5/9/14,3-Dec-13,Rap,Priscilla
25736,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn, Katie Lopez",51.0,18.0,5/9/14,27-Nov-13,"Soundtrack,Pop,Disney",
25737,Goodnight Kiss,Randy Houser,52.0,16.0,5/9/14,22-Jan-13,"Country,Rock",
25743,I Hold On,Dierks Bentley,40.0,19.0,5/9/14,25-Feb-14,Country,
25818,Do I Wanna Know?,Arctic Monkeys,70.0,20.0,5/2/14,18-Jun-13,"British Rock,UK,Adult Alternative,Soundtrack,Psychedelic Rock,Blues Rock,Indie Rock,Alternative Rock,Rock",
25838,Helluva Life,Frankie Ballard,51.0,20.0,5/2/14,29-Jul-13,Country,
25841,Slow Me Down,Sara Evans,89.0,5.0,5/2/14,1-Mar-14,Country,
25906,When She Says Baby,Jason Aldean,38.0,20.0,4/25/14,16-Oct-12,"Country,Rock",
25918,Lookin' For That Girl,Tim McGraw,85.0,4.0,4/25/14,16-Sep-14,"Country,Rock",
25924,Adore You,Miley Cyrus,21.0,18.0,4/25/14,17-Dec-13,Pop,
25929,Take Me Home,Cash Cash,57.0,13.0,4/25/14,15-Jul-13,"Pop,Dance,Electronic",Bebe Rexha
25930,Odio,Romeo Santos,45.0,11.0,4/25/14,27-Jan-14,"Romanticism Literature,En Espa\xc3\xb1ol,Latin Pop,R&;B,Pop,Rap,Bachata",Drake
25973,Roar,Katy Perry,1.0,35.0,4/18/14,10-Aug-13,Pop,
26014,Love Is An Open Door,"Kristen Bell, Santino Fontana",49.0,4.0,4/18/14,27-Nov-13,"Soundtrack,Pop,Disney",
26015,Beating Heart,Ellie Goulding,88.0,3.0,4/18/14,11-Mar-14,"Screen,Soundtrack,Pop",
26018,Young Girls,Bruno Mars,32.0,14.0,4/18/14,6-Nov-12,"Ballad,Pop",
26021,Everything I Shouldn't Be Thinking About,Thompson Square,69.0,12.0,4/18/14,10-Jun-13,Country,
26061,Brave,Sara Bareilles,23.0,42.0,4/11/14,23-Apr-13,"Power Pop,Pop-Rock,Pop,Rock",
26063,Wrecking Ball,Miley Cyrus,1.0,32.0,4/11/14,25-Aug-13,"Adult Contemporary,Ballad,Memes,Pop",
26089,G.U.Y.,Lady Gaga,,,4/11/14,28-Mar-14,"Electronic,Pop",
26106,See You Tonight,Scotty McCreery,52.0,18.0,4/11/14,15-Oct-13,"Country,Rock",
26151,"Hold On, We're Going Home",Drake,4.0,33.0,4/4/14,7-Aug-13,"R&;B,Canada",Majid Jordan
26173,Drink A Beer,Luke Bryan,31.0,20.0,4/4/14,1-Jan-13,"Country,Rock",
26182,I Luh Ya Papi,Jennifer Lopez,77.0,2.0,4/4/14,11-Mar-14,"Pop,Rap",French Montana
26185,Compass,Lady Antebellum,46.0,20.0,4/4/14,14-Oct-13,"Country,Rock",
26190,Love Me Again,John Newman,30.0,18.0,4/4/14,17-May-13,"Soul,Pop",
26200,Can't Raise A Man,K. Michelle,94.0,7.0,4/4/14,13-Aug-13,R&;B,
26212,We Might Be Dead By Tomorrow,Soko,,,3/28/14,13-Feb-12,Rock,
26246,Blurred Lines,Robin Thicke,1.0,48.0,3/28/14,26-Mar-13,"R&;B,Pop",T.I. + Pharrell
26334,Sail,AWOLNATION,17.0,79.0,3/21/14,8-Nov-10,"Electro-Pop,Pop-Rock,Alternative Rock,Industrial Rock,Indie Rock,Electronic Rock,Rock",
26365,Sanctified,Rick Ross,,,3/21/14,3-Mar-14,"Trap,Producer,Rap","Kanye West, Big Sean"
26369,The Language,Drake,51.0,20.0,3/21/14,24-Sep-13,"Trap,Canada,Rap",
26371,Ordinary Love,U2,84.0,2.0,3/21/14,29-Nov-13,"Ireland,Rock",
26373,The Devil Is A Lie,Rick Ross,,,3/21/14,19-Dec-13,Rap,Jay
26376,Glory And Gore,Lorde,68.0,3.0,3/21/14,11-Mar-14,"Alternative,New Zealand,Art Pop,Electro-Pop,Adult Alternative,Chill,Dark Ambient,Dark Pop,Pop,Alternative Pop",
26380,Adrenalina,Wisin,,,3/21/14,18-Mar-14,"Latin Pop,Pop,Latin Music,Reggaeton,En Espa\xc3\xb1ol","Jennifer Lopez, Ricky Martin"
26384,Unconditionally,Katy Perry,14.0,20.0,3/21/14,16-Oct-13,Pop,
26385,Waiting For Superman,Daughtry,66.0,17.0,3/21/14,17-Sep-13,Rock,
26386,Chocolate,The 1975,80.0,6.0,3/21/14,20-Feb-13,"UK,Pop-Rock,Alternative,Alternative Rock,Pop,Rock",
26425,Chillin' It,Cole Swindell,28.0,20.0,3/14/14,19-Aug-13,Country,
26447,Rap God,Eminem,7.0,20.0,3/14/14,15-Oct-13,"Hip-Hop,Hardcore Hip-Hop,Producer,Electronic,Memes,Rap",
26454,Love Don't Die,The Fray,60.0,9.0,3/14/14,15-Oct-13,"Pop,Rock",
26464,The Heart Of Dixie,Danielle Bradbery,58.0,13.0,3/14/14,16-Jul-13,Country,
26466,Friday Night,Eric Paslay,47.0,20.0,3/14/14,4-Feb-14,Country,
26472,Collard Greens,ScHoolboy Q,92.0,8.0,3/14/14,11-Jun-13,Rap,Kendrick Lamar
26473,Do What U Want,Lady Gaga,13.0,19.0,3/14/14,21-Oct-13,"R&;B,Electro-Pop,Pop",R. Kelly
26519,Safe And Sound,Capital Cities,8.0,43.0,3/7/14,6-Jan-11,"Dance-Pop,Synth-Pop,Rock",
26520,Sweater Weather,The Neighbourhood,14.0,37.0,3/7/14,28-Mar-12,"Adult Alternative,Pop-Rock,Indie Rock,Pop,Indie,Alternative Rock,Rock",
26523,Whatever She's Got,David Nail,35.0,21.0,3/7/14,28-May-13,Country,
26524,23,Mike WiLL Made,11.0,23.0,3/7/14,10-Sep-13,Rap,
26564,Worst Behavior,Drake,89.0,11.0,3/7/14,24-Sep-13,"Producer,Glitch Hop,Trap,Canada,Rap",
26565,Thinking About You,Calvin Harris,86.0,6.0,3/7/14,2-Aug-13,Rock,Ayah Marar
26615,Stay The Night,Zedd,18.0,22.0,2/28/14,10-Sep-13,"Electronic,Pop",Hayley Williams
26619,White Walls,"Macklemore, Ryan Lewis",15.0,22.0,2/28/14,8-Oct-13,"West Coast,Rap","ScHoolboy Q, Hollis"
26620,It Won't Stop,Sevyn Streeter,30.0,20.0,2/28/14,22-May-13,"Alternative R&;B,R&;B",Chris Brown
26645,Achy Breaky 2,Buck 22,,,2/28/14,,Rap,Billy Ray Cyrus
26653,You're Mine,Mariah Carey,,,2/28/14,12-Feb-14,"Remix,Rap,R&;B",
26664,Explosions,Ellie Goulding,,,2/28/14,5-Oct-12,"UK,Pop",
26715,All Me,Drake,20.0,20.0,2/21/14,24-Sep-13,"Canada,Rap","2 Chainz, Big Sean"
26751,Midnight Memories,One Direction,12.0,3.0,2/21/14,25-Nov-13,"Rock,Pop-Rock,Power Pop,Boy Band,UK,Pop",
26754,Sweet Annie,Zac Brown Band,47.0,17.0,2/21/14,26-Aug-13,"Country,Rock",
26756,Up All Night,Jon Pardi,56.0,13.0,2/21/14,11-Mar-13,Country,
26814,Follow Your Arrow,Kacey Musgraves,,,2/14/14,21-Oct-13,"Pop,Country",
26829,m.A.A.d City,Kendrick Lamar,75.0,3.0,2/14/14,22-Oct-12,"Trap,Hip-Hop,Gangsta Rap,Conscious Hip-Hop,G-Funk,Memes,West Coast,Producer,Rap",MC Eiht
26841,A Man Who Was Gonna Die Young,Eric Church,,,2/14/14,11-Feb-14,Country,
26849,Don't Let Me Be Lonely,The Band Perry,59.0,16.0,2/14/14,2-Apr-13,"Country,Rock",
26931,El Perdedor,Enrique Iglesias,,,2/7/14,30-Oct-13,"Latin Music,Spanish Music,Pop",Marco Antonio Solis
26939,Carolina,Parmalee,36.0,19.0,2/7/14,4-Feb-13,Country,
26941,Radio,Darius Rucker,65.0,15.0,2/7/14,22-Jul-13,"Country,Rock",
26986,Love More,Chris Brown,23.0,26.0,1/31/14,16-Jul-13,"DMV,Dance-Pop,R&;B,Rap",Nicki Minaj
26988,Applause,Lady Gaga,4.0,23.0,1/31/14,12-Aug-13,"Eurodance,Electronic,Pop",
26998,Wasting All These Tears,Cassadee Pope,37.0,20.0,1/31/14,4-Jun-13,Country,
27003,Drunk Last Night,Eli Young Band,41.0,20.0,1/31/14,1-Jul-13,"Country,Rock",
27031,How I Feel,Flo Rida,96.0,2.0,1/31/14,28-Oct-13,Rap,
27032,Alone Together,Fall Out Boy,71.0,8.0,1/31/14,6-Aug-13,"Pop,Alternative,Alternative Pop,Pop-Rock,Rock",
27034,All That Matters,Justin Bieber,24.0,8.0,1/31/14,14-Oct-13,"Canada,Pop",
27074,Holy Grail,Jay Z,4.0,27.0,1/24/14,4-Jul-13,Rap,Justin Timberlake
27076,Replay,Zendaya,40.0,21.0,1/24/14,16-Jul-13,Pop,
27078,Gas Pedal,Sage The Gemini,29.0,25.0,1/24/14,21-Mar-13,"West Coast,Rap",IamSu!
27109,Berzerk,Eminem,3.0,20.0,1/24/14,27-Aug-13,"Rap Rock,Hip-Hop,Rap",
27116,You Sound Good To Me,Lucy Hale,,,1/24/14,7-Jan-14,Country,
27123,Sunny And 75,Joe Nichols,39.0,20.0,1/24/14,1-Jan-13,Country,
27168,That's My Kind Of Night,Luke Bryan,15.0,21.0,1/17/14,,"Pop Country,Country",
27195,The Fox,Ylvis,6.0,18.0,1/17/14,3-Sep-13,"Norge,Memes,Electronic,Dance,Pop",
27211,Perfume,Britney Spears,76.0,6.0,1/17/14,4-Nov-13,"Ballad,Pop",
27212,Bounce It,Juicy J,74.0,19.0,1/17/14,25-Jun-13,"DMV,R&;B,Rap","Wale, Trey Songz"
27214,Everybody's Got Somebody But Me,Hunter Hayes,77.0,9.0,1/17/14,3-Sep-13,Country,Jason Mraz
27215,Old School Love,Lupe Fiasco,93.0,5.0,1/17/14,14-Oct-13,"Pop,Rap",Ed Sheeran
27268,HeadBand,B.o.B,53.0,29.0,1/10/14,21-May-13,Rap,2 Chainz
27269,Best Song Ever,One Direction,2.0,21.0,1/10/14,22-Jul-13,"Dance-Pop,Boy Band,UK,Pop",
27300,Heart Attack,Enrique Iglesias,88.0,2.0,1/10/14,24-Sep-13,Pop,
